"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SingerInfo/index.jsx", "JavaScript JSX", 126, 0, 0, 0, 0, 13, 9, 148
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SingerInfo/mock.js", "JavaScript", 0, 120, 0, 0, 0, 1, 1, 122
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SingerInfo/store/actionCreators.js", "JavaScript", 0, 38, 0, 0, 0, 0, 6, 44
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SingerInfo/store/constants.js", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 6
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SingerInfo/store/index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 2, 5
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SingerInfo/store/reducer.js", "JavaScript", 0, 20, 0, 0, 0, 0, 4, 24
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SingerInfo/style.js", "JavaScript", 0, 102, 0, 0, 0, 0, 7, 109
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/Singers/index.jsx", "JavaScript JSX", 158, 0, 0, 0, 0, 5, 9, 172
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/Singers/store/actionCreators.js", "JavaScript", 0, 122, 0, 0, 0, 6, 14, 142
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/Singers/store/constants.js", "JavaScript", 0, 16, 0, 0, 0, 0, 1, 17
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/Singers/store/index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 6
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/Singers/store/reduer.js", "JavaScript", 0, 40, 0, 0, 0, 0, 2, 42
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/Singers/style.js", "JavaScript", 0, 52, 0, 0, 0, 0, 6, 58
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SongsList/index.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 1, 8, 61
"/Users/zer02/Project/ReactProj/cloud-music2/src/application/SongsList/style.js", "JavaScript", 0, 101, 0, 0, 0, 0, 2, 103
"/Users/zer02/Project/ReactProj/cloud-music2/src/assets/global-style.js", "JavaScript", 0, 36, 0, 0, 0, 2, 2, 40
"/Users/zer02/Project/ReactProj/cloud-music2/src/assets/iconfont/demo.css", "CSS", 0, 0, 435, 0, 0, 19, 86, 540
"/Users/zer02/Project/ReactProj/cloud-music2/src/assets/iconfont/demo_index.html", "HTML", 0, 0, 0, 0, 815, 2, 113, 930
"/Users/zer02/Project/ReactProj/cloud-music2/src/assets/iconfont/iconfont.css", "CSS", 0, 0, 123, 0, 0, 0, 39, 162
"/Users/zer02/Project/ReactProj/cloud-music2/src/assets/iconfont/iconfont.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"/Users/zer02/Project/ReactProj/cloud-music2/src/assets/iconfont/iconfont.svg", "XML", 0, 0, 0, 55, 0, 3, 77, 135
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/header/index.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 1, 5, 37
"/Users/zer02/Project/ReactProj/cloud-music2/src/baseUI/header/style.js", "JavaScript", 0, 23, 0, 0, 0, 0, 3, 26
